["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission",1.30759e-12)
(202, 3)
1.8737028625000000e+14 3.1238805198156259e-04 2.2725939266937609e+00
1.8743305686515912e+14 2.2439699530049455e-04 2.3573235373542225e+00
1.8749582748031825e+14 2.5683837382539751e-04 2.0428134166558660e+00
1.8755859809547738e+14 1.5573013260585926e-04 1.8776429434111468e+00
1.8762136871063653e+14 2.1331120447106735e-04 1.9925158506577143e+00
1.8768413932579566e+14 1.5764176418649813e-04 1.6521860970138873e+00
1.8774690994095478e+14 2.0935869778044306e-04 1.9842225489030985e+00
1.8780968055611391e+14 2.2293746464748911e-04 1.5137639831731178e+00
1.8787245117127303e+14 2.3194894957123509e-04 1.6849829800054468e+00
1.8793522178643216e+14 3.1336551291067521e-04 1.2498825431004568e+00
1.8799799240159128e+14 2.7490105711880245e-04 1.1149615392780809e+00
1.8806076301675041e+14 3.6794127583818378e-04 8.9823285307306566e-01
1.8812353363190956e+14 3.3307487240563053e-04 4.6537405192202635e-01
1.8818630424706869e+14 3.7114052946380201e-04 3.9704731730321868e-01
1.8824907486222781e+14 3.9770320202902313e-04 -8.3642706778228618e-02
1.8831184547738694e+14 3.4027437459447762e-04 -2.2659708083939434e-01
1.8837461609254606e+14 4.0737761120240011e-04 -5.5909058151732305e-01
1.8843738670770519e+14 3.2010899308183095e-04 -9.1868993430808243e-01
1.8850015732286431e+14 3.4824201742622742e-04 -1.0108097238718845e+00
1.8856292793802344e+14 3.1017816268142940e-04 -1.5046638690735612e+00
1.8862569855318259e+14 2.4869014157088358e-04 -1.4749484363600183e+00
1.8868846916834172e+14 2.6906402438646719e-04 -1.9147168178053253e+00
1.8875123978350084e+14 1.7349735555505081e-04 -2.0203884104394825e+00
1.8881401039865997e+14 2.2011219646256555e-04 -2.0345375229303868e+00
1.8887678101381909e+14 1.4027288875485754e-04 -2.3162470131616546e+00
1.8893955162897822e+14 1.9175741556844088e-04 -1.9755184873946594e+00
1.8900232224413734e+14 1.7473725639126841e-04 -2.3951038751891272e+00
1.8906509285929647e+14 2.0735683083898752e-04 -2.0963534402647834e+00
1.8912786347445562e+14 2.5925223625167335e-04 -2.5784463082651530e+00
1.8919063408961475e+14 2.3716188422871846e-04 -2.5783156799344611e+00
1.8925340470477388e+14 3.3629115060521987e-04 -2.9130560302557549e+00
1.8931617531993300e+14 2.9795713099191995e-04 -3.2526883415467833e+00
1.8937894593509212e+14 3.7450515209993786e-04 -3.3128191920676593e+00
1.8944171655025125e+14 3.4867065058658513e-04 -3.8203390914561473e+00
1.8950448716541038e+14 3.3619772657924246e-04 -3.9006817038628441e+00
1.8956725778056950e+14 3.8662129535757208e-04 -4.3454035461598171e+00
1.8963002839572866e+14 3.0212602023425340e-04 -4.6020115742407581e+00
1.8969279901088778e+14 3.5644324330613605e-04 -4.8131840676955857e+00
1.8975556962604691e+14 2.8907111966076828e-04 -5.2858313123303668e+00
1.8981834024120603e+14 2.6929252954365206e-04 -5.2818159664377617e+00
1.8988111085636516e+14 2.6433124321065574e-04 -5.7858030213160498e+00
1.8994388147152428e+14 1.6697428200240184e-04 -5.7476910371508065e+00
1.9000665208668341e+14 1.8221573201764374e-04 -6.0935847880664644e+00
1.9006942270184253e+14 1.1739336223784247e-04 -6.4842618025207148e+00
1.9013219331700169e+14 1.5903406712946985e-04 -6.0105943756184423e+00
1.9019496393216081e+14 1.1381356277822173e-04 -6.4159256472583186e+00
1.9025773454731994e+14 1.6426294677519552e-04 -5.8837363045965301e+00
1.9032050516247906e+14 1.8223345252710071e-04 -6.4232113196741674e+00
1.9038327577763819e+14 1.9282359580209557e-04 -6.2035677492344963e+00
1.9044604639279731e+14 2.7307871295093299e-04 -6.6866039896421690e+00
1.9050881700795644e+14 2.2978207600884545e-04 -6.8548872943709194e+00
1.9057158762311556e+14 3.2767493249614190e-04 -7.0843128448777231e+00
1.9063435823827472e+14 2.9373981880128578e-04 -7.5428731622928158e+00
1.9069712885343384e+14 3.2411507448691445e-04 -7.6071476177664348e+00
1.9075989946859297e+14 3.5418715164801918e-04 -8.1147431918671806e+00
1.9082267008375209e+14 2.9341032898412810e-04 -8.2789741680024047e+00
1.9088544069891122e+14 3.5943181621296653e-04 -8.6048222600085076e+00
1.9094821131407034e+14 2.8036163407397884e-04 -9.0187959430793043e+00
1.9101098192922947e+14 2.9717539145056570e-04 -9.0805227499823555e+00
1.9107375254438859e+14 2.7411491661660147e-04 -9.6153907246761889e+00
1.9113652315954775e+14 2.0055426401501141e-04 -9.5993957825645460e+00
1.9119929377470688e+14 2.3158585855734786e-04 -9.9668165279637755e+00
1.9126206438986600e+14 1.0445255212983887e-04 -1.0291959179551688e+01
1.9132483500502512e+14 1.7930944993748275e-04 -1.0255722610410245e+01
1.9138760562018425e+14 1.1112955360714271e-04 -1.0552920189731175e+01
1.9145037623534338e+14 1.5346047719501924e-04 -1.0033314649858516e+01
1.9151314685050250e+14 1.4585842211343797e-04 -1.0513752424331884e+01
1.9157591746566162e+14 1.7313679448935061e-04 -1.0137080431377299e+01
1.9163868808082078e+14 2.3283051622815701e-04 -1.0667295142654410e+01
1.9170145869597991e+14 2.0540891027715438e-04 -1.0687099318812622e+01
1.9176422931113903e+14 3.1098735534632678e-04 -1.1013310352364273e+01
1.9182699992629816e+14 2.7394059292805390e-04 -1.1444406992309984e+01
1.9188977054145728e+14 3.7779820664728461e-04 -1.1476056995565528e+01
1.9195254115661641e+14 3.4552974119303335e-04 -1.1907200526186370e+01
1.9201531177177553e+14 3.2449044389284087e-04 -1.2057851033736945e+01
1.9207808238693466e+14 3.8050598197248759e-04 -1.2478203737574239e+01
1.9214085300209381e+14 3.0682892988504015e-04 -1.2793865729646232e+01
1.9220362361725294e+14 3.5324057061663711e-04 -1.2982203661415353e+01
1.9226639423241206e+14 3.0875970736453644e-04 -1.3473637965120917e+01
1.9232916484757119e+14 2.7372778442165223e-04 -1.3517636487385996e+01
1.9239193546273031e+14 2.9002882291001331e-04 -1.3973629595827131e+01
1.9245470607788944e+14 1.8450692480798936e-04 -1.4128156915845119e+01
1.9251747669304856e+14 2.2659288628815993e-04 -1.4323758937379470e+01
1.9258024730820769e+14 1.4329713343077036e-04 -1.4696685185746020e+01
1.9264301792336684e+14 1.6061372638554185e-04 -1.4357893652456445e+01
1.9270578853852597e+14 1.3177891775028550e-04 -1.4808114414566955e+01
1.9276855915368509e+14 1.4513503470109691e-04 -1.4253702955314251e+01
1.9283132976884422e+14 1.8325932924081632e-04 -1.4740421889007344e+01
1.9289410038400334e+14 1.7426012016009406e-04 -1.4546728538690020e+01
1.9295687099916247e+14 2.6708614622741417e-04 -1.4934660120509616e+01
