,S11,S12,S13,S14,S21,S22,S23,S24,S31,S32,S33,S34,S41,S42,S43,S44,wavelength
0,(-8.369606484060956e-05+6.967633738878632e-05j),(0.00015920061011678684+0.00020336901572743534j),(-0.011997788700136292+0.12202873152887067j),(-0.37803174305767895-0.9179308126176533j),(0.0001589038792856234+0.00020482517554286015j),(0.0023749629282057714+0.0014159443691792407j),(0.5476950598613404-0.8244375524791753j),(0.012006723162002242-0.1220521083773234j),(0.012006723162002242-0.1220521083773234j),(0.5476950598613404-0.8244375524791753j),(0.0023749629282057714+0.0014159443691792407j),(0.0001589038792856234+0.00020482517554286015j),(-0.37803174305767895-0.9179308126176533j),(-0.011997788700136292+0.12202873152887067j),(0.00015920061011678684+0.00020336901572743534j),(-8.369606484060956e-05+6.967633738878632e-05j),1.6
1,(-9.117308168247918e-05-9.030140037485549e-05j),(6.74364772313746e-05+0.00020273434271913295j),(-0.03425482680992018+0.11740918200999535j),(-0.24149916043486674-0.9623466682488911j),(6.717707719491822e-05+0.00020417717610806278j),(0.0014857377193346953+0.0011404351391092794j),(0.719855406388849-0.6805237493011248j),(0.03425229865281798-0.11741959501383221j),(0.03425229865281798-0.11741959501383221j),(0.719855406388849-0.6805237493011248j),(0.0014857377193346953+0.0011404351391092794j),(6.717707719491822e-05+0.00020417717610806278j),(-0.24149916043486674-0.9623466682488911j),(-0.03425482680992018+0.11740918200999535j),(6.74364772313746e-05+0.00020273434271913295j),(-9.117308168247918e-05-9.030140037485549e-05j),1.5994641661085065
2,(-0.00013422679358046936-8.252374611703495e-05j),(-6.3838823482112076e-06+0.00016718794282111066j),(-0.05513211871516781+0.10864801266987249j),(-0.09971616281553158-0.9876485912540627j),(-6.710514921858282e-06+0.00016853511437939423j),(0.0006800714733225082+0.0006782173286624707j),(0.8539015433613266-0.5009791370117471j),(0.05514949962038963-0.10865222779328247j),(0.05514949962038963-0.10865222779328247j),(0.8539015433613266-0.5009791370117471j),(0.0006800714733225082+0.0006782173286624707j),(-6.710514921858282e-06+0.00016853511437939423j),(-0.09971616281553158-0.9876485912540627j),(-0.05513211871516781+0.10864801266987249j),(-6.3838823482112076e-06+0.00016718794282111066j),(-0.00013422679358046936-8.252374611703495e-05j),1.5989286909943088
3,(-7.372465098685887e-07-0.0001444564679702815j),(-5.0949452309527204e-05+0.00010735626960269506j),(-0.07411469576442582+0.09625219280942918j),(0.04333813165969844-0.9916611764428618j),(-5.131814064290267e-05+0.00010876656617633792j),(0.00037883768208145266+0.0001871657541190226j),(0.9453412655358381-0.2952614133610234j),(0.07412744137207933-0.09627123345034125j),(0.07412744137207933-0.09627123345034125j),(0.9453412655358381-0.2952614133610234j),(0.00037883768208145266+0.0001871657541190226j),(-5.131814064290267e-05+0.00010876656617633792j),(0.04333813165969844-0.9916611764428618j),(-0.07411469576442582+0.09625219280942918j),(-5.0949452309527204e-05+0.00010735626960269506j),(-7.372465098685887e-07-0.0001444564679702815j),1.598393574297189
4,(-1.7684057273282127e-05-0.00025077567953713426j),(-6.0098285471968255e-05+4.029989853801016e-05j),(-0.09030186568814343+0.08068595927319318j),(0.18652302526699172-0.9747197465222495j),(-6.040335895482745e-05+4.16777096415008e-05j),(0.000299264920454083-0.00042382859456768877j),(0.9876513058362182-0.07547324386784805j),(0.09030638563748823-0.08068753139931614j),(0.09030638563748823-0.08068753139931614j),(0.9876513058362182-0.07547324386784805j),(0.000299264920454083-0.00042382859456768877j),(-6.040335895482745e-05+4.16777096415008e-05j),(0.18652302526699172-0.9747197465222495j),(-0.09030186568814343+0.08068595927319318j),(-6.0098285471968255e-05+4.029989853801016e-05j),(-1.7684057273282127e-05-0.00025077567953713426j),1.5978588156574105
5,(6.227274909752007e-05-0.00017845158114125414j),(-3.360272606114242e-05-1.833008460959207e-05j),(-0.10331945117136981+0.06231246580489676j),(0.32524180504694794-0.9381694437756661j),(-3.4001352000702e-05-1.700058981254252e-05j),(0.0003470961338363465-0.000663677717381707j),(0.978783509135343+0.1494051652393875j),(0.10334171331928416-0.06231160767354854j),(0.10334171331928416-0.06231160767354854j),(0.978783509135343+0.1494051652393875j),(0.0003470961338363465-0.000663677717381707j),(-3.4001352000702e-05-1.700058981254252e-05j),(0.32524180504694794-0.9381694437756661j),(-0.10331945117136981+0.06231246580489676j),(-3.360272606114242e-05-1.833008460959207e-05j),(6.227274909752007e-05-0.00017845158114125414j),1.597324414715719
6,(0.00018801322654560276-0.00024339291518240587j),(1.9288913016722344e-05-5.403735047800279e-05j),(-0.11275999135291537+0.04202755542629787j),(0.45698632190192434-0.8809806213482753j),(1.887918994832931e-05-5.2624102900276526e-05j),(0.0006335914982497244-0.0007249010161415184j),(0.9206861917711487+0.36614138798789087j),(0.11277257800914736-0.0420392936084873j),(0.11277257800914736-0.0420392936084873j),(0.9206861917711487+0.36614138798789087j),(0.0006335914982497244-0.0007249010161415184j),(1.887918994832931e-05-5.2624102900276526e-05j),(0.45698632190192434-0.8809806213482753j),(-0.11275999135291537+0.04202755542629787j),(1.9288913016722344e-05-5.403735047800279e-05j),(0.00018801322654560276-0.00024339291518240587j),1.59679037111334
7,(0.00016480801807970083-0.00022333680181482415j),(8.623699242642292e-05-5.5686508981188944e-05j),(-0.11813590022561693+0.02038815464073262j),(0.5799988132757226-0.8058581992455032j),(8.583765810478432e-05-5.4331053815091515e-05j),(0.0006398511522747305-0.0006223933324076053j),(0.8141414572039603+0.5636841452046758j),(0.11814353029846601-0.020380198637961665j),(0.11814353029846601-0.020380198637961665j),(0.8141414572039603+0.5636841452046758j),(0.0006398511522747305-0.0006223933324076053j),(8.583765810478432e-05-5.4331053815091515e-05j),(0.5799988132757226-0.8058581992455032j),(-0.11813590022561693+0.02038815464073262j),(8.623699242642292e-05-5.5686508981188944e-05j),(0.00016480801807970083-0.00022333680181482415j),1.5962566844919788
8,(0.00029282662614624693-0.00011923423159341815j),(0.00015100967911326092-2.11965063817375e-05j),(-0.11951944740560898-0.001874769116503544j),(0.6899075853738003-0.7140060507938419j),(0.00015051356800486394-1.9827833822660994e-05j),(0.0004887196826613787-0.00019149824769455233j),(0.6661770567313383+0.7332997583947671j),(0.1195428377776798+0.001880239094495645j),(0.1195428377776798+0.001880239094495645j),(0.6661770567313383+0.7332997583947671j),(0.0004887196826613787-0.00019149824769455233j),(0.00015051356800486394-1.9827833822660994e-05j),(0.6899075853738003-0.7140060507938419j),(-0.11951944740560898-0.001874769116503544j),(0.00015100967911326092-2.11965063817375e-05j),(0.00029282662614624693-0.00011923423159341815j),1.595723354493819
9,(0.0003367568295426963-0.0001539912580229887j),(0.00019594655522293643+4.6601746673252744e-05j),(-0.11674275677136561-0.023816101738073116j),(0.7859129320490731-0.6063628022174744j),(0.000195467694248129+4.800045403022063e-05j),(0.00010928759887754063+5.792622873160091e-05j),(0.4842822470565116+0.8641930985173258j),(0.11675195130402648+0.02381423210382015j),(0.11675195130402648+0.02381423210382015j),(0.4842822470565116+0.8641930985173258j),(0.00010928759887754063+5.792622873160091e-05j),(0.000195467694248129+4.800045403022063e-05j),(0.7859129320490731-0.6063628022174744j),(-0.11674275677136561-0.023816101738073116j),(0.00019594655522293643+4.6601746673252744e-05j),(0.0003367568295426963-0.0001539912580229887j),1.595190380761523
