["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission",2.45374e-12)
(202, 3)
1.8737028625000000e+14 1.0890281567397374e-04 -1.7919397947924236e+00
1.8743305686515912e+14 1.2832331718413444e-04 -1.2848586628224543e+00
1.8749582748031825e+14 1.5756586174702554e-04 -2.4819721987869672e+00
1.8755859809547738e+14 1.4445834925979627e-04 -2.4352717944847813e+00
1.8762136871063653e+14 2.5139842348144545e-04 -3.4683246627139868e+00
1.8768413932579566e+14 1.8900492610505234e-04 -4.0299298482405632e+00
1.8774690994095478e+14 3.0755338482461539e-04 -4.6757085941172036e+00
1.8780968055611391e+14 2.7756262332712063e-04 -5.6654557141896307e+00
1.8787245117127303e+14 3.1617121147230773e-04 -6.0848333708507791e+00
1.8793522178643216e+14 3.7029511175702993e-04 -7.0947942786608325e+00
1.8799799240159128e+14 2.9991577520208638e-04 -7.6889302493846721e+00
1.8806076301675041e+14 4.0069029160214373e-04 -8.4561585616769506e+00
1.8812353363190956e+14 3.1735716153141101e-04 -9.3524029278970797e+00
1.8818630424706869e+14 3.5157664208955387e-04 -9.8354476178083452e+00
1.8824907486222781e+14 3.4482113066213935e-04 -1.0847582479133242e+01
1.8831184547738694e+14 2.5854008366734446e-04 -1.1318182500738276e+01
1.8837461609254606e+14 3.2780417595465320e-04 -1.2182777807548618e+01
1.8843738670770519e+14 2.0601790826814775e-04 -1.2890208635706953e+01
1.8850015732286431e+14 2.5687413935529714e-04 -1.3304643258890742e+01
1.8856292793802344e+14 1.8343705869255895e-04 -1.4276130042057266e+01
1.8862569855318259e+14 1.8548613205581055e-04 -1.4278686509828301e+01
1.8868846916834172e+14 1.9411556281020241e-04 -1.5275001631229808e+01
1.8875123978350084e+14 1.6245246016165563e-04 -1.5275420602987387e+01
1.8881401039865997e+14 2.4921310325481288e-04 -1.6181563222618049e+01
1.8887678101381909e+14 1.8963550091387772e-04 -1.6629377707053685e+01
1.8893955162897822e+14 3.1630369218716304e-04 -1.7285041885230648e+01
1.8900232224413734e+14 2.7830528535722668e-04 -1.8108888059838257e+01
1.8906509285929647e+14 3.3667087375355460e-04 -1.8524082398096976e+01
1.8912786347445562e+14 3.6085710509651522e-04 -1.9552041983970422e+01
1.8919063408961475e+14 3.2319173716728947e-04 -2.0047758893592082e+01
1.8925340470477388e+14 4.1818554202207589e-04 -2.0908833512342330e+01
1.8931617531993300e+14 3.2475989091486601e-04 -2.1688652823891285e+01
1.8937894593509212e+14 3.9568183147840153e-04 -2.2263651733554667e+01
1.8944171655025125e+14 3.5209616084671961e-04 -2.3245006479023591e+01
1.8950448716541038e+14 3.1088144398304021e-04 -2.3685629666038320e+01
1.8956725778056950e+14 3.4925566127642980e-04 -2.4622525984378161e+01
1.8963002839572866e+14 2.1345540099404830e-04 -2.5241537833978196e+01
1.8969279901088778e+14 2.8737177979926652e-04 -2.5943289630089094e+01
1.8975556962604691e+14 2.0426038780712243e-04 -2.6781029180625115e+01
1.8981834024120603e+14 2.0665119569774203e-04 -2.6937329759899864e+01
1.8988111085636516e+14 1.8318697367750324e-04 -2.7927994286453647e+01
